lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
kissinger,United States diplomat who served under President Nixon and President Ford (born in 1923),9,-4.4239357977619935,-4.323541482777782,0.0
redecorating,redo the decoration of an apartment or house,4,-4.644175993326731,-4.749836255569166,0.0
reinvent,bring back into existence,3,-3.647706718078947,-3.4595784418924205,0.0
shimmer,a weak and tremulous light,3,-4.0082125908872595,-4.0082125908872595,0.33333333333333337
clotting,the process of forming semisolid lumps in a liquid,5,-4.68828112174554,-4.694596790278986,0.19999999999999996
rejoicing,a feeling of great happiness,3,-3.5999040856437623,-3.1742334439138458,0.0
ode,a lyric poem with complex stanza forms,5,-4.747826634307083,-4.801546380266306,0.19999999999999996
terrify,fill with terror; frighten greatly,4,-4.937311748859178,-5.057714590179852,0.0
validity,the quality of being valid and rigorous,3,-5.322542392239542,-5.375620251651405,0.0
styling,designate by an identifying term,3,-4.514730485392818,-4.514730485392818,0.33333333333333337
abnormality,an abnormal physical condition resulting from defective genes or developmental deficiencies,8,-4.999893910386086,-4.728074019389699,0.125
varies,"become different in some particular way, without permanently losing one's or its former characteristics or essence",9,-4.352538525733012,-4.527620364946415,0.0
enact,order by virtue of superior authority; decree,5,-4.694596709045474,-4.7675179376395755,0.0
gritty,composed of or covered with particles resembling meal in texture or consistency,7,-5.300182047850157,-5.684491615495809,0.0
sedition,an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government,11,-4.936321120182646,-4.852067449287649,0.0
synaptic,(neuroscience) of or involving synapses,3,-5.129636713997313,-5.129636713997313,0.6666666666666667
stoker,Irish writer of the horror novel about Dracula (1847-1912),5,-4.891984067517685,-4.8652362653879075,0.0
enthusiast,an ardent and enthusiastic supporter of some person or activity,5,-5.073013538539469,-5.43109750541867,0.0
marauder,someone who attacks in search of booty,4,-4.1485393645334225,-4.053882055379004,0.0
bankroll,a roll of currency notes (often taken as the resources of a person or business etc.),9,-4.2103608937742765,-4.153687443913987,0.0
hammerhead,a stupid person; these words are used to express a low opinion of someone's intelligence,9,-3.915530686980698,-3.7419325067028195,0.0
entice,provoke someone to do something through (often false or exaggerated) promises or persuasion,8,-4.440584587792824,-4.388623776007462,0.0
codex,an official list of chemicals or medicines etc.,5,-4.615640535919004,-4.431020629449105,0.0
illuminating,tending to increase knowledge or dissipate ignorance,5,-4.883886931959175,-4.829856135553,0.19999999999999996
gecko,any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless,14,-5.1129213642120535,-5.187297953519651,0.2142857142857143
flog,beat severely with a whip or rod,4,-4.763202993418867,-4.8818933459533795,0.0
mayflower,the ship in which the Pilgrim Fathers sailed from England to Massachusetts in 1620,6,-4.499783860067942,-4.57797831004352,0.0
inciting,give an incentive for action,3,-4.257284002278642,-4.115075052526635,0.0
nationalist,one who loves and defends his or her country,3,-3.7594065748278567,-3.7349608842263007,0.0
hideaway,a hiding place; usually a remote place used by outlaws,7,-4.029477631334085,-4.051802639615955,0.0
notable,worthy of notice,2,-4.528654760279013,-4.528654760279013,0.0
galore,in great numbers,2,-3.335820604675261,-3.335820604675261,0.0
presenter,someone who presents a message of some sort (as a petition or an address or a check or a memorial etc.),9,-4.295437798069381,-3.9983174752623096,0.0
poise,"be motionless, in suspension",2,-5.375251337015052,-5.375251337015052,0.5
plentiful,existing in great number or quantity,4,-4.128883227542062,-3.983407569499623,0.0
detainee,some held in custody,2,-4.008381727455326,-4.008381727455326,0.0
citrus,any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions,11,-5.032102651105262,-4.919646264907458,0.18181818181818177
boosted,increase,1,-4.779521506510729,-4.779521506510729,0.0
lashed,beat severely with a whip or rod,4,-4.763202993418867,-4.8818933459533795,0.0
gaff,a sharp metal spike or spur that is fastened to the leg of a gamecock,6,-5.024467763301407,-4.919187263182925,0.16666666666666663
invariably,"without variation or change, in every case",3,-4.2093812630391785,-3.5512472416255276,0.0
strenuous,characterized by or performed with much energy or force,5,-4.43718665800724,-4.256446884649701,0.0
impervious,not admitting of passage or capable of being affected,4,-4.637593934718234,-4.674238266409056,0.0
sloshing,make a splashing sound,3,-3.964155600598508,-3.528927299122913,0.0
slacker,a person who shirks his work or duty (especially one who tries to evade military service in wartime),10,-4.258855460337845,-4.164585542973987,0.09999999999999998
shackled,bound by chains fastened around the ankles,4,-5.141491576066528,-5.252177282843222,0.0
advisable,worthy of being recommended or suggested; prudent or wise,5,-4.989152252603769,-4.869511490593059,0.0
conga,music composed for dancing the conga,4,-4.875129801026975,-4.8737691767471425,0.0
barkeep,an employee who mixes and serves alcoholic drinks at a bar,6,-4.388078855327453,-4.475700802153691,0.0
footman,a man employed as a servant in a large establishment (as a palace) to run errands and do chores,9,-4.450491758733966,-4.562645747946577,0.11111111111111116
dispensary,clinic where medicine and medical supplies are dispensed,5,-4.765960409208029,-4.443056336373515,0.0
pulpit,a platform raised above the surrounding level to give prominence to the person on it,7,-4.198738040013081,-4.1825109774860945,0.1428571428571429
cascade,"rush down in big quantities, like a cascade",4,-4.826275705057694,-4.947929389666461,0.0
quell,suppress or crush completely,3,-4.795540770741693,-4.711676593359897,0.0
minty,relating to or suggestive of mint,3,-5.261278757787355,-5.261278757787355,0.33333333333333337
newsstand,a stall where newspapers and other periodicals are sold,4,-4.515210180559244,-4.514522848628147,0.25
mauled,split (wood) with a maul and wedges,4,-5.107819089962865,-5.013966092420352,0.0
defected,"desert (a cause, a country or an army), often in order to join the opposing cause, country, or army",11,-4.121891962471081,-4.019191457228289,0.0
enacted,order by virtue of superior authority; decree,5,-4.694596709045474,-4.7675179376395755,0.0
pb,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey,14,-4.8117728655195595,-4.788956780897969,0.2142857142857143
borneo,3rd largest island in the world; in the western Pacific to the north of Java; largely covered by dense jungle and rain forest; part of the Malay Archipelago,16,-4.576331309030368,-4.43947963603622,0.125
ailment,an often persistent bodily disorder or disease; a cause for complaining,7,-4.838150670441185,-4.878986771347464,0.0
rodgers,United States composer of musical comedies (especially in collaboration with Oscar Hammerstein II and with Lorenz Hart) (1902-1979),11,-4.862608225664515,-4.9281679416794155,0.18181818181818177
dago,(ethnic slur) offensive term for a person of Italian descent,7,-4.770704476921394,-4.798408517667777,0.1428571428571429
sliver,a small thin sharp bit or wood or glass or metal,7,-4.185415820396512,-4.210576428542791,0.0
drivel,a worthless message,2,-4.461171567995152,-4.461171567995152,0.0
warhol,United States artist who was a leader of the Pop Art movement (1930-1987),7,-4.2177278380629755,-4.216130650989132,0.0
mouthpiece,a part that goes over or into the mouth of a person,4,-3.3636452060756845,-3.557640846967932,0.0
replenish,fill something that had previously been emptied,4,-4.011885275359034,-4.2902038188892995,0.0
commonplace,a trite or obvious remark,3,-4.876030259663948,-4.876030259663948,0.33333333333333337
littered,filled or scattered with a disorderly accumulation of objects or rubbish,6,-5.070518838275583,-4.955049274457214,0.16666666666666663
policewoman,a woman policeman,2,-3.9665478143606325,-3.9665478143606325,0.0
repetitive,repetitive and persistent,2,-5.850807297658143,-5.850807297658143,0.0
lingers,remain present although waning or gradually dying,5,-4.497783722230141,-4.369793332506127,0.0
northman,an inhabitant of Scandinavia,2,-5.610709315890334,-5.610709315890334,0.5
leniency,mercifulness as a consequence of being lenient or tolerant,4,-5.558512626503494,-5.922186700380212,0.25
nairobi,the capital and largest city of Kenya; a center for tourist safaris,7,-4.76459340982788,-4.724561429083225,0.0
corrupting,corrupt morally or by intemperance or sensuality,4,-5.404636461279887,-5.404636461279887,0.5
disagrees,be of different opinions,2,-4.003401510463458,-4.003401510463458,0.0
diffuse,move outward,2,-4.5971218514052214,-4.5971218514052214,0.0
liven,make lively,2,-4.026344209019299,-4.026344209019299,0.0
inspecting,look over carefully,2,-3.603730921138152,-3.603730921138152,0.0
misinterpreted,interpret falsely,2,-5.741646347402648,-5.741646347402648,0.0
emitting,expel (gases or odors),3,-5.239704364856975,-5.746890124953225,0.0
cabana,a small tent used as a dressing room beside the sea or a swimming pool,8,-4.097131511478142,-4.085589704658064,0.0
hinting,drop a hint; intimate by a hint,4,-4.764508559668373,-5.039933836867812,0.0
peroxide,a viscous liquid with strong oxidizing properties; a powerful bleaching agent; also used (in aqueous solutions) as a mild disinfectant and (in strong concentrations) as an oxidant in rocket fuels,19,-4.581132568901817,-4.601461650065856,0.21052631578947367
groggy,stunned or confused and slow to react (as from blows or drunkenness or exhaustion),7,-5.1456500577088224,-5.357744701109707,0.0
putrid,of or relating to or attended by putrefaction,3,-5.07059070037303,-5.07059070037303,0.33333333333333337
attends,"be present at (meetings, church services, university), etc.",6,-4.3189414807279,-4.050227098033568,0.0
inoperable,not able to perform its normal function,4,-4.333267986952376,-4.408493747642877,0.0
maja,type genus of the Majidae; nearly cosmopolitan in distribution,6,-5.012616207485858,-4.853956541840388,0.33333333333333337
lakshmi,Hindu goddess of fortune and prosperity,4,-5.1101264351986755,-5.208124070844107,0.0
grotto,a small cave (usually with attractive features),5,-4.4822125726562545,-4.620979904829992,0.0
ventriloquist,a performer who projects the voice into a wooden dummy,5,-4.735886583284861,-4.968281151872591,0.0
keyed,"identify as in botany or biology, for example",4,-5.152219389111744,-5.030025054148592,0.0
barbecued,cook outdoors on a barbecue grill,4,-5.089915622967485,-5.203928217102319,0.0
yeller,someone who communicates vocally in a very loud voice,5,-4.1007459420561885,-4.074300979839158,0.19999999999999996
animosity,a feeling of ill will arousing active hostility,5,-4.8030122522764405,-4.854444620140738,0.0
exonerate,pronounce not guilty of criminal charges,4,-4.420236170626786,-4.243894729121047,0.0
blubbering,cry or whine with snuffling,3,-4.550444309055146,-4.550444309055146,0.33333333333333337
escalation,an increase to counteract a perceived discrepancy,4,-5.695229812377824,-5.919641761339079,0.0
ageing,acquiring desirable qualities by being left undisturbed for some time,6,-4.630924765558655,-5.0319773970542165,0.0
organizer,a person who brings order and organization to an enterprise,5,-4.039560156161315,-3.6195130798565596,0.0
repertoire,the entire range of skills or aptitudes or devices used in a particular field or occupation,9,-4.346230609927077,-4.47086467999763,0.11111111111111116
keystone,a central cohesive source of support and stability,5,-4.665575219753786,-4.463197801016424,0.19999999999999996
gatekeeper,someone who controls access to something,4,-3.5582212255848082,-3.5241406496171104,0.0
pillage,goods or money obtained illegally,4,-4.136930948103946,-4.293543010295425,0.0
hemorrhoid,pain caused by venous swelling at or inside the anal sphincter,6,-4.932859965965119,-4.947317785922343,0.16666666666666663
goethe,German poet and novelist and dramatist who lived in Weimar (1749-1832),6,-4.5940289677760395,-4.550579367954046,0.33333333333333337
cancelling,postpone indefinitely or annul something that was scheduled,5,-4.630515438339266,-5.010264712307952,0.19999999999999996
depravity,moral perversion; impairment of virtue and moral principles,6,-5.1129494507609445,-4.8121921660778595,0.16666666666666663
viewpoint,a mental position from which things are viewed,4,-3.954391146962001,-4.1837524866775695,0.0
rainfall,water falling in drops from vapor condensed in the atmosphere,6,-4.4166862777748115,-3.8505500449231147,0.16666666666666663
portray,portray in words,2,-4.8054597052038215,-4.8054597052038215,0.0
shyness,a feeling of fear of embarrassment,3,-4.16987920450896,-3.9891165285332977,0.0
falter,be unsure or weak,2,-5.114595783055832,-5.114595783055832,0.0
ussr,a former communist country in eastern Europe and northern Asia; established in 1922; included Russia and 14 other soviet socialist republics (Ukraine and Byelorussia and others); officially dissolved 31 December 1991,19,-4.878422042094768,-4.942348121624724,0.052631578947368474
peddle,sell or offer for sale from place to place,5,-3.7610809875020386,-3.9863767612565284,0.0
fillet,a boneless steak cut from the tenderloin of beef,5,-4.40191577260961,-4.784055950906308,0.4
maimed,people who are wounded,2,-3.6242679040364267,-3.6242679040364267,0.0
nautilus,a submarine that is propelled by nuclear power,4,-4.471980827521221,-4.6408046762091635,0.25
overhaul,travel past,1,-4.287611808428143,-4.287611808428143,0.0
stillness,(poetic) tranquil silence,3,-5.362217693389337,-5.524405512145821,0.0
disintegrate,break into parts or components or lose cohesion or unity,6,-4.338456158491224,-3.778420653760323,0.16666666666666663
engraving,a print made from an engraving,3,-3.6238350661357313,-3.6238350661357313,0.33333333333333337
heisenberg,German mathematical physicist noted for stating the uncertainty principle (1901-1976),7,-4.809030993601053,-4.8121921660778595,0.0
plowing,tilling the land with a plow,3,-4.5038941921129485,-3.912198263647992,0.0
scoreboard,a large board for displaying the score of a contest (and some other information),6,-4.443814026759616,-4.3969560464075474,0.0
castrated,deprive of strength or vigor,3,-5.463234820599303,-5.855910651888324,0.0
handwritten,written by hand,2,-3.581444328915129,-3.581444328915129,0.0
